Row,Element,Symbol,<i>R</i><sub>vdw</sub>/Å,<i>R</i><sub>cov</sub>/Å
101,"Thorium","Th","2.45","1.90",
102,"Thulium","Tm","2.27","1.77",
103,"Tin","Sn","2.17","1.40",
104,"Titanium","Ti","2.11","1.48",
105,"Tungsten","W","2.18","1.50",
106,"Ununhexium","Uuh",,"1.75",
107,"Ununoctium","Uuo",,"1.57",
108,"Ununpentium","Uup",,"1.62",
109,"Ununquadium","Uuq",,"1.43",
110,"Ununseptium","Uus",,"1.65",
111,"Ununtrium","Uut",,"1.36",
112,"Uranium","U","2.41","1.83",
113,"Vanadium","V","2.07","1.44",
114,"Xenon","Xe","2.16","1.36",
115,"Ytterbium","Yb","2.26","1.78",
116,"Yttrium","Y","2.32","1.76",
117,"Zinc","Zn","2.01","1.20",
118,"Zirconium","Zr","2.23","1.64",
