Row,Element,Symbol,<i>R</i><sub>vdw</sub>/Å,<i>R</i><sub>cov</sub>/Å
1,"Actinium","Ac","2.47","2.01",
2,"Aluminum","Al","1.84","1.24",
3,"Americium","Am","2.44","1.73",
4,"Antimony","Sb","2.06","1.40",
5,"Argon","Ar","1.88","1.01",
6,"Arsenic","As","1.85","1.20",
7,"Astatine","At","2.02","1.48",
8,"Barium","Ba","2.68","2.06",
9,"Berkelium","Bk","2.44","1.68",
10,"Beryllium","Be","1.53","0.99",
11,"Bismuth","Bi","2.07","1.50",
12,"Bohrium","Bh",,"1.41",
13,"Boron","B","1.92","0.84",
14,"Bromine","Br","1.85","1.17",
15,"Cadmium","Cd","2.18","1.40",
16,"Calcium","Ca","2.31","1.74",
17,"Californium","Cf","2.45","1.68",
18,"Carbon","C","1.70","0.75",
19,"Cerium","Ce","2.42","1.84",
20,"Cesium","Cs","3.43","2.38",
21,"Chlorine","Cl","1.75","1.00",
22,"Chromium","Cr","2.06","1.30",
23,"Cobalt","Co","2.00","1.18",
24,"Copernicium","Cp",,"1.22",
25,"Copper","Cu","1.96","1.22",
26,"Curium","Cm","2.45","1.68",
27,"Darmstadtium","Ds",,"1.28",
28,"Dubnium","Db",,"1.49",
29,"Dysprosium","Dy","2.31","1.80",
30,"Einsteinium","Es","2.45","1.65",
31,"Erbium","Er","2.29","1.77",
32,"Europium","Eu","2.35","1.83",
33,"Fermium","Fm","2.45","1.67",
34,"Fluorine","F","1.47","0.60",
35,"Francium","Fr","3.48","2.42",
36,"Gadolinium","Gd","2.34","1.82",
37,"Gallium","Ga","1.87","1.23",
38,"Germanium","Ge","2.11","1.20",
39,"Gold","Au","2.14","1.30",
40,"Hafnium","Hf","2.23","1.64",
41,"Hassium","Hs",,"1.34",
42,"Helium","He","1.40","0.37",
43,"Holmium","Ho","2.30","1.79",
44,"Hydrogen","H","1.10","0.32",
45,"Indium","In","1.93","1.42",
46,"Iodine","I","1.98","1.36",
47,"Iridium","Ir","2.13","1.32",
48,"Iron","Fe","2.04","1.24",
49,"Krypton","Kr","2.02","1.16",
50,"Lanthanum","La","2.43","1.94",
